#{"t_start": 1615253180.0972133, "env_id": "commonroad-v0"}
r,l,t,is_collision,is_time_out,is_off_road,is_back_collision,is_goal_reached,scenario_name
-16.965743,120,1910.319694,0,0,0,1,0,DEU_AAH-1_90083_T-1
-12.687372,206,1931.367627,0,1,0,0,0,DEU_AAH-1_80072_T-1
-14.137044,156,1947.307574,1,0,0,0,0,DEU_AAH-1_110074_T-1
65.6,141,1972.929771,0,0,0,0,1,DEU_AAH-1_90081_T-1
-26.64629,109,1990.886113,0,0,0,1,0,DEU_AAH-1_90094_T-1
0.146137,176,2008.614439,0,1,0,0,0,DEU_AAH-1_80049_T-1
-20.773999,175,2037.529603,0,0,0,1,0,DEU_AAH-1_170089_T-1
4.102049,96,2052.561702,0,0,0,0,0,DEU_AAH-1_100030_T-1
65.6,152,2072.677589,0,0,0,0,1,DEU_AAH-1_110031_T-1
64.6,187,2099.711844,0,0,0,0,1,DEU_AAH-1_110057_T-1
65.2,127,2113.672342,0,0,0,0,1,DEU_AAH-1_80088_T-1
-3.239411,199,2134.657854,0,1,0,0,0,DEU_AAH-1_100037_T-1
-14.492252,150,2170.038468,0,0,0,1,0,DEU_AAH-1_180049_T-1
-15.240447,128,2190.037684,0,0,0,1,0,DEU_AAH-1_160051_T-1
64.7,164,2203.982223,0,0,0,0,1,DEU_AAH-1_80056_T-1
-11.765881,215,2236.581583,0,1,0,0,0,DEU_AAH-1_160096_T-1
64.1,172,2259.531053,0,0,0,0,1,DEU_AAH-1_100030_T-1
-10.057123,81,2269.253182,1,0,0,0,0,DEU_AAH-1_110067_T-1
3.438917,233,2300.208399,0,1,0,0,0,DEU_AAH-1_150036_T-1
-23.019549,145,2325.694454,0,0,0,1,0,DEU_AAH-1_170089_T-1
-30.181624,246,2365.985686,0,0,0,1,0,DEU_AAH-1_120041_T-1
65.7,147,2380.546715,0,0,0,0,1,DEU_AAH-1_80032_T-1
63.8,183,2406.232233,0,0,0,0,1,DEU_AAH-1_100017_T-1
-36.622405,234,2432.471326,0,1,0,0,0,DEU_AAH-1_140016_T-1
-21.731883,205,2454.820715,0,1,0,0,0,DEU_AAH-1_100046_T-1
2.638194,175,2470.042855,0,1,0,0,0,DEU_AAH-1_110011_T-1
65.4,157,2485.946687,0,0,0,0,1,DEU_AAH-1_120056_T-1
-12.981335,315,2529.048167,0,1,0,0,0,DEU_AAH-1_1000214_T-1
-67.730177,199,2547.522153,0,0,1,0,0,DEU_AAH-1_800151_T-1
-11.572631,193,2574.097623,0,1,0,0,0,DEU_AAH-1_100056_T-1
0.875855,55,2584.635041,0,0,0,0,0,DEU_AAH-1_1200142_T-1
63.7,186,2602.654728,0,0,0,0,1,DEU_AAH-1_100069_T-1
